2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PABPN1: 8106
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PAPOLA: 10914
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PFDN2: 5202
2024-06-22 09:36:35 - INFO - ALIAS MATCH: PHB: 5245
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PHB2: 11331
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PHF5A: 84844
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: POLR2D: 5433
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: POLR2F: 5435
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: POLR2I: 5438
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PPP2R1A: 5518
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PRKAB2: 5565
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PRPF18: 8559
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PRPF19: 27339
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PRPF3: 9129
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PRPF31: 26121
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PRPF38A: 84950
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PRPF8: 10594
2024-06-22 09:36:35 - INFO - ALIAS MATCH: PRUNE: 58497
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PSMA1: 5682
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PSMA2: 5683
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PSMA3: 5684
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PSMA6: 5687
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PSMB2: 5690
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PSMB3: 5691
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PSMC1: 5700
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PSMC2: 5701
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PSMC4: 5704
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PSMD1: 5707
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PSMD11: 5717
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: PSMD7: 5713
